"person","Albert Einstein","was born",,,"on the date","date",03/14/79
"person","Albert Einstein","died",,,"on the date","date",4/18/1955
"person","Albert Einstein","developed","thing","general theory of relativity",,,
"person","Albert Einstein","was born",,,"in","country","Germany"
"person","Albert Einstein","left","country","Germany","after","event","Adolph Hitler came to power"
"person","Albert Einstein","was friends with","person","Max Born",,,
"person","Kurt Godel","has the first name","first name","Kurt",,,
"person","Kurt Godel","has the last name","last name","Godel",,,
"person","Albert Einstein","was friends with","person","Kurt Godel",,,
"person","Aaron Novic","was a member of","organization","Manhattan Project","at","location","Hanford, Washington"
"person","Aaron Novic","helped achieve the goal","goal","plutonium production",,,
"person","Aaron Novic","watched","event","the Trinity experiment",,,
"person","Aaron Novic","didn't believe in","thing","war","after","war","World War II"
"person","Julius Robert Oppenheimer","began working on","concept","fast neutron calculations","to","activity","calculate critical mass of weapon detonation"
"person","Robert Serber","has the first name","first name","Robert",,,
"person","Robert Serber","has the last name","last name","Serber",,,
"person","Julius Robert Oppenheimer","studied","concept","problems of neutron diffusion","with","person","Robert Serber"
"person","Glenn Theodore Seaborg","has the first name","first name","Glenn",,,
"person","Glenn Theodore Seaborg","has the middle name","middle name","Theodore",,,
"person","Victor Weisskopf","has the first name","first name","Victor",,,
"person","Victor Weisskopf","has the last name","last name","Weisskopf",,,
"person","Yoshio Nishina","has the last name","last name","Nishina",,,
"person","Yoshio Nishina","works for","organization","RIKEN","as","job title","Head of Japan Atomic Weapons Program"
"person","Yoshio Nishina","was born",,,"on the date","date",12/06/90
"person","Yoshio Nishina","died",,,"on the date","date",1/10/1951
"person","Yoshio Nishina","was the director of","organization","Japanese Atomic Weapons Program",,,
"person","Yoshio Nishina","was the","job title","Principle Investigator","at","organization","RIKEN"
"person","Yoshio Nishina","graduated from","organization","Tokyo Imperial University","in the year","year",1918
"person","Yoshio Nishina","was born",,,"in","city","Satosho, Okayama"
"person","Yoshio Nishina","worked for","organization","Institute of Physical and Chemical Research (Now Riken)",,,
"person","Yoshio Nishina","went to","country","Europe","in the year","year",1921
"person","Yoshio Nishina","studied","school subject","Physics","in","country","Europe"
"person","Yoshio Nishina","visited","organization","Cavendish Laboratory",,,
"person","Yoshio Nishina","visited","organization","Georg August University of Gottingen",,,
"person","Yoshio Nishina","visited","organization","University of Copenhagen",,,
"person","Yoshio Nishina","discovered","thing","Uranium 237",,,
"person","Yoshio Nishina","was an expert in","school subject","Symmetric Fission",,,
